Dross  n. 1 rubbish. 2 a scum from melted metals. B impurities. [old english]
Alder  n. Tree related to the birch. [old english]
Epoch  n. 1 period of history etc. Marked by notable events. 2 beginning of an era. 3 geol. Division of a period, corresponding to a set of strata.  epochal adj. [greek, = pause]
Tansy  n. (pl. -ies) plant with yellow flowers and aromatic leaves. [greek athanasia immortality]
Nancy  n. (pl. -ies) (in full nancy boy) slang offens. Effeminate man, esp. A homosexual. [pet form of ann]
Trice  n.  in a trice in an instant. [trice haul up, from low german and dutch]
Ditty  n. (pl. -ies) short simple song. [latin: related to *dictate]
Durex  n. Propr. Condom. [origin uncertain]
Thane  n. Hist. 1 man who held land from an english king or other superior by military service. 2 man who held land from a scottish king and ranked with an earl's son; chief of a clan. [old english]
Usury  n. 1 lending of money at interest, esp. At an exorbitant or illegal rate. 2 interest at this rate.  usurious adj. [anglo-french or medieval latin: related to *use]
Jonah  n. Person who seems to bring bad luck. [jonah in the old testament]
Ethos  n. Characteristic spirit or attitudes of a community etc. [greek ethos character]
Gonad  n. Animal organ producing gametes, esp. The testis or ovary. [greek gone seed]
Yokel  n. Rustic; country bumpkin. [perhaps dial.]
Facer  n. Colloq. Sudden difficulty.
Serum  n. (pl. Sera or -s) 1 liquid that separates from a clot when blood coagulates, esp. Used for inoculation. 2 watery fluid in animal bodies. [latin, = whey]
Patio  n. (pl. -s) 1 paved usu. Roofless area adjoining a house. 2 inner roofless court in a spanish or spanish-american house. [spanish]
Mommy  n. (pl. -ies) esp. Us colloq. = *mummy1.
Cozen  v. Literary 1 cheat, defraud. 2 beguile. 3 act deceitfully.  cozenage n. [cant]
Smith  n. 1 blacksmith. 2 (esp. In comb.) Worker in metal (goldsmith). 3 (esp. In comb.) Craftsman (wordsmith). [old english]
Chaos  n. 1 utter confusion. 2 formless matter supposed to have existed before the creation of the universe.  chaotic adj. Chaotically adv. [latin from greek]
Cacao  n. (pl. -s) 1 seed from which cocoa and chocolate are made. 2 tree bearing these. [spanish from nahuatl]
Teddy  n. (also teddy) (pl. -ies) (in full teddy bear) soft toy bear. [teddy, pet form of theodore roosevelt]
Sooth  n. Archaic truth. [old english]
Calyx  n. (pl. Calyces or -es) (also calix) 1 sepals forming the protective case of a flower in bud. 2 cuplike cavity or structure. [greek, = husk]
Baddy  n. (pl. -ies) colloq. Villain in a story, film, etc.
Erode  v. (-ding) wear away, destroy gradually.  erosion n. Erosive adj. [latin rodo ros- gnaw]
Ha-ha  n. Ditch with a wall in it, forming a boundary or fence without interrupting the view. [french]
Flask  n. 1 narrow-necked bulbous bottle for wine etc. Or used in chemistry. 2 = *hip-flask. 3 = *vacuum flask. [latin flasca, flasco: cf. *flagon]
Fagot  n. (brit. Faggot) 1  ball of seasoned chopped liver etc., baked or fried. 2 bundle of sticks etc. 3 slang offens. A unpleasant woman. B us male homosexual. [french from italian]
Cider  n. Drink of fermented apple juice. [hebrew, = strong drink]
Abbot  n. Head of a community of monks. [old english from latin abbas]
Boule  n. (also boules pronunc. Same) french form of bowls played on rough ground. [french]
Rugby  n. (in full rugby football) team game played with an oval ball that may be kicked or carried. [rugby school, where it was first played]
Tulip  n. 1 bulbous spring-flowering plant with showy cup-shaped flowers. 2 its flower. [turkish tul(i)band *turban (from its shape), from persian]
Debar  v. (-rr-) (foll. By from) exclude; prohibit (debarred from the club).  debarment n. [french: related to *bar1]
Sibyl  n. Pagan prophetess. [greek sibulla]
Uncle  n. 1 a brother of one's father or mother. B aunt's husband. 2 colloq. (form of address by a child to) parent's male friend. 3 slang esp. Hist. Pawnbroker. [latin avunculus]
Boche  n. Slang derog. German, esp. A soldier. [french]
Helix  n. (pl. Helices) spiral curve (like a corkscrew) or coiled curve (like a watch spring). [latin from greek]
Kebab  n. Pieces of meat, vegetables, etc. Cooked on a skewer (cf. *doner kebab, *shish kebab). [urdu from arabic]
Tiger  n. 1 large asian animal of the cat family, with a yellow-brown coat with black stripes. 2 fierce, energetic, or formidable person. [greek tigris]
Creel  n. Fisherman's large wicker basket. [origin unknown]
Dally  v. (-ies, -ied) 1 delay; waste time. 2 (often foll. By with) flirt, trifle.  dalliance n. [french]
Dolor  n. (brit. Dolour) literary sorrow, distress.  dolorous adj. [latin dolor pain]
Covey  n. (pl. -s) 1 brood of partridges. 2 small group of people. [latin cubo lie]
Taffy  n. (pl. -ies) colloq. Often offens. Welshman. [a supposed pronunciation of davy = david]
Coupe  n. (brit. Coupé) car with a hard roof, two doors, and usu. A sloping rear. [french couper cut]
Title  n. 1 name of a book, work of art, etc. 2 heading of a chapter, document, etc. 3 a = *title-page. B book, magazine, etc., in terms of its title (brought out two new titles). 4 (usu. In pl.) Caption or credit in a film etc. 5 name indicating a person's status (e.g. Queen, professor) or used as a form of address or reference (e.g. Lord, mr, your grace). 6 championship in sport. 7 law a right to ownership of property with or without possession. B facts constituting this. C (foll. By to) just or recognized claim. [latin titulus]
Tempt  v. 1 entice or incite (a person) to do what is wrong or forbidden (tempted him to steal it). 2 allure, attract. 3 risk provoking (fate etc.).  be tempted to be strongly disposed to.  tempter n. Temptress n. [latin tempto, tento try, test]
Baton  n. 1 thin stick for conducting an orchestra etc. 2 short stick passed on in a relay race. 3 stick carried by a drum major. 4 staff of office. [french from latin]
Lover  n. 1 person in love with another. 2 person with whom another is having sexual relations. 3 (in pl.) Unmarried couple in love or having sexual relations. 4 person who likes or enjoys a specified thing (music lover).
Virgo  n. (pl. -s) 1 constellation and sixth sign of the zodiac (the virgin). 2 person born when the sun is in this sign. [latin: related to *virgin]
Thorn  n. 1 sharp-pointed projection on a plant. 2 thorn-bearing shrub or tree.  thorn in one's flesh (or side) constant nuisance.  thornless adj. [old english]
Razor  n. Instrument with a sharp blade used in cutting hair, esp. Shaving. [french rasor: related to *raze]
Orris  n. 1 a kind of iris. 2 = *orris root. [alteration of *iris]
Lemur  n. Tree-dwelling primate of madagascar. [latin lemures ghosts]
Sabot  n. 1 shoe carved from wood. 2 wooden-soled shoe. [french]
Night  n. 1 period of darkness between one day and the next; time from sunset to sunrise. 2 nightfall. 3 darkness of night. 4 night or evening appointed for some activity regarded in a certain way (last night of the proms). [old english]
Endue  v. (also indue) (-dues, -dued, -duing) (foll. By with) provide (a person) with (qualities etc.). [latin induo put on clothes]
Œuvre  n. Works of a creative artist regarded collectively. [french, = work, from latin opera]
Auger  n. Tool with a screw point for boring in wood. [old english]
Coupé  n. (us coupe) car with a hard roof, two doors, and usu. A sloping rear. [french couper cut]
Poppy  n. (pl. -ies) 1 plant with showy esp. Scarlet flowers and a milky sap. 2 artificial poppy worn on remembrance sunday. [latin papaver]
Blade  n. 1 cutting part of a knife etc. 2 flattened part of an oar, propeller, etc. 3 a flat narrow leaf of grass etc. B broad thin part of a leaf. 4 flat bone, e.g. In the shoulder. [old english]
Withy  var. Of *withe.
Tapir  n. Nocturnal central and s. American or malaysian hoofed mammal with a short flexible snout. [tupi]
Heart  n. 1 hollow muscular organ maintaining the circulation of blood by rhythmic contraction and dilation. 2 region of the heart; the breast. 3 a centre of thought, feeling, and emotion (esp. Love). B capacity for feeling emotion (has no heart). 4 a courage or enthusiasm (take heart). B mood or feeling (change of heart). 5 a central or innermost part of something. B essence (heart of the matter). 6 compact tender inner part of a lettuce etc. 7 a heart-shaped thing. B conventional representation of a heart with two equal curves meeting at a point at the bottom and a cusp at the top. 8 a playing-card of the suit denoted by a red figure of a heart. B (in pl.) This suit.  at heart 1 in one's inmost feelings. 2 basically. Break a person's heart overwhelm a person with sorrow. By heart from memory. Give (or lose) one's heart (often foll. By to) fall in love (with). Have the heart (usu. With neg.; foll. By to + infin.) Be insensitive or hard-hearted enough (didn't have the heart to ask him). Take to heart be much affected by. To one's heart's content see *content1. With all one's heart sincerely; with all goodwill. [old english]
Await  v. 1 wait for. 2 be in store for. [french: related to *wait]
Prude  n. Excessively (often affectedly) squeamish or sexually modest person.  prudery n. Prudish adj. Prudishly adv. Prudishness n. [french: related to *proud]
Softy  var. Of *softie.
Pommy  n. (also pommie) (pl. -ies) austral. & nz slang offens. British person, esp. A recent immigrant. [origin uncertain]
Divot  n. Piece of turf cut out by a blow, esp. By the head of a golf club. [origin unknown]
Libra  n. 1 constellation and seventh sign of the zodiac (the scales). 2 person born when the sun is in this sign. [latin, = pound weight]
Ma'am  n. Madam (used esp. In addressing royalty).   [contraction]
Byway  n. 1 byroad or secluded path. 2 minor activity.
Crone  n. Withered old woman. [dutch croonje carcass]
Oldie  n. Colloq. Old person or thing.
Delve  v. (-ving) 1 (often foll. By in, into) search or research energetically or deeply (delved into his pocket, his family history). 2 poet. Dig. [old english]
Envoy  n. 1 messenger or representative. 2 (in full envoy extraordinary) diplomatic agent ranking below ambassador. [french envoyer send, from latin via way]
Dhoti  n. (pl. -s) loincloth worn by male hindus. [hindi]
Ovule  n. Structure that contains the germ cell in a female plant. [related to *ovum]
Udder  n. Baglike mammary organ of cattle etc., with several teats. [old english]
Fjord  var. Of *fiord.
Chasm  n. 1 deep cleft or opening in the earth, rock, etc. 2 wide difference of feeling, interests, etc. [latin from greek]
Leach  v. 1 make (a liquid) percolate through some material. 2 subject (bark, ore, ash, or soil) to the action of percolating fluid. 3 (foll. By away, out) remove (soluble matter) or be removed in this way. [old english]
Prink  v. 1 a (usu. Refl.; often foll. By up) smarten (oneself) up. B dress oneself up. 2 (of a bird) preen. [origin unknown]
Dutch oven  n. 1 metal box with the open side facing a fire. 2 covered cooking-pot for braising etc.
Quill  n. 1 (in full quill-feather) large feather in a wing or tail. 2 hollow stem of this. 3 (in full quill pen) pen made of a quill. 4 (usu. In pl.) Porcupine's spine. [probably low german quiele]
Bourn  n. Small stream. [var. Of *burn2]
Blimp  n. 1 (also (colonel) blimp) reactionary person. 2 small non-rigid airship. 3 soundproof cover for a cine-camera. [origin uncertain]
Loser  n. 1 person or thing that loses, esp. A contest (is a bad loser). 2 colloq. Person who regularly fails.
Theme  n. 1 subject or topic of a talk, book, etc. 2 mus. Prominent melody in a composition. 3 us school exercise on a given subject.  thematic adj. Thematically adv. [greek thema -mat-]
Halve  v. (-ving) 1 divide into two halves or parts; share equally between two. 2 reduce by half. 3 golf use the same number of strokes as one's opponent in (a hole or match).
Aspen  n. Poplar with very tremulous leaves. [old english: originally adj.]
Laver  n. Edible seaweed. [latin]
Cadge  v. (-ging) colloq. Get or seek by begging. [origin unknown]
Emery  n. Coarse corundum for polishing metal etc. [greek smeris polishing powder]
Wafer  n. 1 very thin light crisp sweet biscuit. 2 disc of unleavened bread used in the eucharist. 3 disc of red paper stuck on a legal document instead of a seal. [anglo-french wafre from germanic]
Metro  n. (pl. -s) underground railway system, esp. In paris. [french shortened from métropolitain metropolitan]
Osier  n. 1 willow used in basketwork. 2 shoot of this. [french]
